journal_name,category,if_2023,if_2022,涨跌分值
Travel Medicine and Infectious Disease,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1)",12,20.44,-8.441
Nature Food,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1),23.2,20.43,2.77
Light-Science & Applications,OPTICS - SCIE(Q1),19.4,20.26,-0.857
Journal of Thoracic Oncology,ONCOLOGY - SCIE(Q1); RESPIRATORY SYSTEM - SCIE(Q1),20.4,20.12,0.279
Matter,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",18.9,19.97,-1.067
ADVANCED FUNCTIONAL MATERIALS,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1)",19,19.92,-0.924
Nature Metabolism,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),20.8,19.87,0.935
PhotoniX,OPTICS - SCIE(Q1),16.5,19.82,-3.318
Annual Review of Biophysics,BIOPHYSICS - SCIE(Q1),12.4,19.76,-7.363
TRENDS IN IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),16.8,19.71,-2.909
PROGRESS IN RETINAL AND EYE RESEARCH,OPHTHALMOLOGY - SCIE(Q1),17.8,19.7,-1.904
Nature Physics,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",19.6,19.68,-0.084
Emerging Microbes & Infections,MICROBIOLOGY - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1); IMMUNOLOGY - SCIE(Q1),13.2,19.57,-6.368
Applied Physics Reviews,"PHYSICS, APPLIED - SCIE(Q1)",15,19.53,-4.527
JOURNAL OF CLINICAL INVESTIGATION,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",15.9,19.46,-3.556
CRITICAL CARE,CRITICAL CARE MEDICINE - SCIE(Q1),15.1,19.33,-4.234
MOLECULAR CELL,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),16,19.33,-3.328
Science Translational Medicine,"CELL BIOLOGY - SCIE(Q1); MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",17.1,19.32,-2.219
AMERICAN JOURNAL OF PSYCHIATRY,PSYCHIATRY - SSCI(Q1); PSYCHIATRY - SCIE(Q1),17.7,19.24,-1.542
Academy of Management Annals,MANAGEMENT - SSCI(Q1); BUSINESS - SSCI(Q1),#N/A,19.24,#N/A
BRAIN BEHAVIOR AND IMMUNITY,NEUROSCIENCES - SCIE(Q1); IMMUNOLOGY - SCIE(Q1); PSYCHIATRY - SCIE(Q1),15.1,19.23,-4.127
Trends in Cancer,ONCOLOGY - SCIE(Q1),18.4,19.16,-0.761
NUCLEIC ACIDS RESEARCH,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),14.9,19.16,-4.26
